time	low	high	open	close	volume
1497196800	2933.46	2964.79	2951.86	2954.56	5544.4
1497200400	2941.42	2956.95	2954.56	2947.29	3445.13
1497204000	2934.19	2947.35	2947.29	2938.06	3057.83
1497207600	2938.06	2951.73	2938.06	2947.11	3011.97
1497211200	2934.25	2950.23	2947.11	2941.21	2696.96
1497214800	2938.35	2956.64	2941.21	2947.03	4251.24
1497218400	2944.38	2959.19	2947.03	2956.73	2994.85
1497222000	2954.72	2977.86	2956.73	2973.45	3331.44
1497225600	2961.62	2980.15	2973.45	2978.85	2867.88
1497229200	2974.23	2980.75	2978.85	2979.83	2646.16
1497232800	2957.92	2982.29	2979.83	2958.05	3336.42
1497236400	2956.93	2970.6	2958.05	2968.85	2602.03
1497240000	2967.5	2985.06	2968.85	2981.61	1975.02
1497243600	2962.04	2982.22	2981.61	2963.73	3800.54
1497247200	2940.64	2963.88	2963.73	2940.84	4773.38
1497250800	2934.5	2947.36	2940.84	2942.63	4292.32
1497254400	2928.02	2950.16	2942.63	2933.93	4900.96
1497258000	2918.78	2942.27	2933.93	2937.25	3991.73
1497261600	2710.67	2937.87	2937.25	2721.66	17752.99
1497265200	2718.93	2807.86	2721.66	2750.6	17810.45
1497268800	2748.11	2820.88	2750.6	2801.26	10488.09
1497272400	2760.57	2802.18	2801.26	2792.26	8140.01
1497276000	2788.63	2816.12	2792.26	2788.63	7175.39
1497279600	2736.71	2793.61	2788.63	2773.16	9528.28
1497283200	2635.28	2777.78	2773.16	2660.42	16588.64
1497286800	2483.63	2665.57	2660.42	2562.82	29673.68
1497290400	2557.85	2662.34	2562.82	2609.66	14107.57
1497294000	2516.28	2610.8	2609.66	2552.73	12912.45
1497297600	2550.19	2652.42	2552.73	2619.61	13708.6
1497301200	2618.13	2678.33	2619.61	2665.57	8869.44
1497304800	2611.07	2673.6	2665.57	2630.1	8608.86
1497308400	2628.53	2688.5	2630.1	2656.77	7412.43
1497312000	2652.13	2694.74	2656.77	2687.9	5254.38
1497315600	2647.44	2706.77	2687.9	2660.28	7547.58
1497319200	2659.3	2696.1	2660.28	2665.93	4971.03
1497322800	2652.21	2681.0	2665.93	2672.4	4459.53
1497326400	2670.17	2683.84	2672.4	2681.42	3343.85
1497330000	2677.86	2715.92	2681.42	2703.38	3385.53
1497333600	2702.84	2754.84	2703.38	2753.28	4331.72
1497337200	2735.28	2756.08	2753.28	2748.95	4396.1
1497340800	2745.75	2784.77	2748.95	2761.37	4938.88
1497344400	2707.79	2762.06	2761.37	2708.95	5364.71
1497348000	2694.76	2736.69	2708.95	2694.93	5694.16
1497351600	2675.31	2708.69	2694.93	2708.69	4923.15
1497355200	2708.04	2741.57	2708.69	2718.28	3372.08
1497358800	2714.67	2738.55	2718.28	2737.68	4392.39
1497362400	2715.49	2741.29	2737.68	2718.64	4413.18
1497366000	2703.02	2731.38	2718.64	2729.89	4679.45
1497369600	2729.61	2746.78	2729.89	2746.31	4712.01
1497373200	2736.51	2752.12	2746.31	2737.55	6022.78
1497376800	2705.14	2737.55	2737.55	2720.86	7201.08
1497380400	2709.88	2736.52	2720.86	2715.49	6444.32
1497384000	2683.28	2720.96	2715.49	2700.95	6359.37
1497387600	2697.74	2724.0	2700.95	2710.58	3652.3
1497391200	2700.9	2727.09	2710.58	2704.54	4195.71
1497394800	2704.01	2715.78	2704.54	2712.99	2682.82
1497398400	2709.29	2733.28	2712.99	2733.28	3481.71
1497402000	2731.21	2771.23	2733.28	2764.42	4401.45
1497405600	2762.81	2774.31	2764.42	2769.56	2821.21
1497409200	2746.08	2773.07	2769.56	2756.35	3172.96
1497412800	2751.37	2761.02	2756.35	2754.75	2783.78
1497416400	2754.03	2779.87	2754.75	2778.13	2648.56
1497420000	2770.78	2803.72	2778.13	2773.85	5198.55
1497423600	2741.69	2774.14	2773.85	2746.84	4429.41
1497427200	2726.88	2751.02	2746.84	2748.01	3729.57
1497430800	2746.88	2764.09	2748.01	2755.79	3042.02
1497434400	2747.74	2762.55	2755.79	2761.18	1801.31
1497438000	2744.31	2762.86	2761.18	2746.76	3381.76
1497441600	2737.95	2753.77	2746.76	2738.09	4678.39
1497445200	2586.37	2738.69	2738.09	2631.77	21625.22
1497448800	2558.0	2648.5	2631.77	2646.22	15732.69
1497452400	2622.27	2656.81	2646.22	2626.14	8338.8
1497456000	2524.47	2630.13	2626.14	2563.04	13198.22
1497459600	2528.73	2578.38	2563.04	2578.38	9878.29
1497463200	2570.22	2602.9	2578.38	2588.05	7216.7
1497466800	2539.58	2595.67	2588.05	2554.76	5853.12
1497470400	2534.96	2563.44	2554.76	2559.34	6943.93
1497474000	2441.08	2561.61	2559.34	2472.55	12613.3
1497477600	2348.99	2493.35	2472.55	2408.21	18827.88
1497481200	2408.21	2475.06	2408.21	2467.27	8390.42
1497484800	2399.03	2467.62	2467.27	2463.83	8121.27
1497488400	2448.31	2516.49	2463.83	2497.73	7514.33
1497492000	2496.69	2521.6	2497.73	2504.53	4128.29
1497495600	2460.45	2506.84	2504.53	2489.59	3937.23
1497499200	2433.88	2491.49	2489.59	2435.22	6017.74
1497502800	2351.7	2435.94	2435.22	2352.27	12920.0
1497506400	2246.0	2390.34	2352.27	2385.59	23691.57
1497510000	2367.53	2438.13	2385.59	2438.09	9661.0
1497513600	2432.62	2476.58	2438.09	2470.65	6706.21
1497517200	2404.32	2479.66	2470.65	2407.41	5651.34
1497520800	2349.78	2443.71	2407.41	2350.42	9366.09
1497524400	2300.35	2356.98	2350.42	2311.04	14834.9
1497528000	2309.65	2376.91	2311.04	2315.83	10720.95
1497531600	2145.55	2322.09	2315.83	2152.75	23579.66
1497535200	2125.56	2305.59	2152.75	2273.54	22273.56
1497538800	2214.77	2281.89	2273.54	2256.02	15345.22
1497542400	2255.97	2355.63	2256.02	2345.56	15313.39
1497546000	2261.39	2346.93	2345.56	2261.39	9983.0
1497549600	2239.1	2314.51	2261.39	2297.27	8053.58
1497553200	2287.52	2363.05	2297.27	2362.84	8081.24
1497556800	2328.36	2396.65	2362.84	2387.29	10627.86
1497560400	2366.39	2434.13	2387.29	2415.86	9417.52
1497564000	2383.07	2432.58	2415.86	2432.0	7938.15
1497567600	2412.23	2450.35	2432.0	2442.46	8903.23
1497571200	2369.56	2443.29	2442.46	2384.16	6277.72
1497574800	2354.36	2420.14	2384.16	2354.38	4945.55
1497578400	2335.28	2382.49	2354.38	2382.49	5805.68
1497582000	2379.42	2416.83	2382.49	2411.96	3703.33
1497585600	2409.57	2455.52	2411.96	2437.44	3722.17
1497589200	2436.92	2454.7	2437.44	2449.52	2361.55
1497592800	2448.36	2487.22	2449.52	2486.2	4965.72
1497596400	2468.25	2492.71	2486.2	2471.45	4683.61
1497600000	2470.93	2496.47	2471.45	2489.33	3854.89
1497603600	2489.33	2517.78	2489.33	2517.07	4475.57
1497607200	2515.08	2526.47	2517.07	2523.54	4248.92
1497610800	2454.86	2536.12	2523.54	2479.45	7907.77
1497614400	2433.81	2491.84	2479.45	2436.41	5705.22
1497618000	2419.37	2452.62	2436.41	2452.3	7684.34
1497621600	2452.01	2480.95	2452.3	2479.52	5248.66
1497625200	2460.25	2483.83	2479.52	2474.18	4421.78
1497628800	2473.38	2525.88	2474.18	2518.16	6651.04
1497632400	2509.54	2525.25	2518.16	2513.73	3285.47
1497636000	2493.81	2521.98	2513.73	2494.43	4733.36
1497639600	2487.7	2530.24	2494.43	2530.24	5919.89
1497643200	2509.9	2536.42	2530.24	2509.9	5716.69
1497646800	2493.87	2514.99	2509.9	2504.07	3452.35
1497650400	2455.71	2506.4	2504.07	2487.87	4831.85
1497654000	2486.35	2510.47	2487.87	2508.58	2603.32
1497657600	2484.35	2510.27	2508.58	2485.25	2991.46
1497661200	2456.77	2489.18	2485.25	2464.28	5210.2
1497664800	2454.81	2475.78	2464.28	2472.4	3774.19
1497668400	2471.9	2512.61	2472.4	2509.36	3295.33
1497672000	2497.31	2531.35	2509.36	2528.21	3650.61
1497675600	2513.83	2532.03	2528.21	2523.44	2339.1
1497679200	2520.95	2548.46	2523.44	2536.88	3117.45
1497682800	2523.63	2539.9	2536.88	2530.68	2242.92
1497686400	2527.11	2549.48	2530.68	2546.73	2111.81
1497690000	2546.04	2570.26	2546.73	2568.14	3980.24
1497693600	2567.7	2603.18	2568.14	2590.76	5299.79
1497697200	2586.58	2606.25	2590.76	2604.32	3754.56
1497700800	2581.42	2607.04	2604.32	2584.01	3338.31
1497704400	2560.93	2590.94	2584.01	2570.91	3802.01
1497708000	2568.05	2584.77	2570.91	2579.45	2513.65
1497711600	2574.55	2621.52	2579.45	2621.46	6361.1
1497715200	2599.13	2631.61	2621.46	2616.39	6871.21
1497718800	2615.04	2661.99	2616.39	2644.22	7708.02
1497722400	2644.12	2681.07	2644.22	2671.06	4945.83
1497726000	2662.18	2678.83	2671.06	2668.93	4482.5
1497729600	2650.31	2675.06	2668.93	2660.15	3877.03
1497733200	2651.98	2666.93	2660.15	2663.57	2391.83
1497736800	2663.5	2688.26	2663.57	2686.08	3546.52
1497740400	2654.83	2690.71	2686.08	2655.1	4342.62
1497744000	2622.1	2663.44	2655.1	2636.92	5885.05
1497747600	2634.73	2663.57	2636.92	2660.97	3014.58
1497751200	2659.49	2676.04	2660.97	2665.18	2201.76
1497754800	2660.6	2671.71	2665.18	2667.92	2148.5
1497758400	2645.82	2668.11	2667.92	2648.19	3290.04
1497762000	2643.64	2666.12	2648.19	2650.5	2804.79
1497765600	2614.64	2653.96	2650.5	2623.09	3267.34
1497769200	2548.4	2624.58	2623.09	2548.74	9635.89
