time	low	high	open	close	volume
1497196800	333.43	339.66	336.58	338.73	22887.57
1497200400	338.36	342.49	338.73	342.16	17959.55
1497204000	341.78	348.53	342.16	348.43	28182.27
1497207600	343.8	348.59	348.43	346.23	23394.43
1497211200	345.62	348.62	346.23	347.29	17382.68
1497214800	342.87	347.57	347.29	343.07	17766.49
1497218400	342.86	345.57	343.07	343.62	19529.81
1497222000	337.92	344.22	343.62	339.68	25527.14
1497225600	338.66	340.56	339.68	339.79	12616.38
1497229200	338.84	340.62	339.79	339.61	15110.46
1497232800	339.56	347.44	339.61	345.87	28355.94
1497236400	343.91	346.84	345.87	345.82	15202.01
1497240000	345.13	347.29	345.82	347.21	10898.31
1497243600	347.02	359.71	347.21	356.59	50640.3
1497247200	356.31	360.69	356.59	360.6	26009.28
1497250800	359.94	371.59	360.6	368.48	46967.47
1497254400	363.46	380.87	368.48	378.91	51289.88
1497258000	378.75	394.69	378.91	391.22	54207.65
1497261600	364.72	417.21	391.22	365.0	157858.17
1497265200	364.58	399.21	365.0	380.2	117819.05
1497268800	379.36	399.57	380.2	396.88	70766.13
1497272400	392.42	401.58	396.88	395.74	50532.74
1497276000	387.99	403.52	395.74	395.61	39511.82
1497279600	383.19	396.87	395.61	389.19	47456.64
1497283200	362.69	389.9	389.19	368.87	91116.19
1497286800	311.99	371.43	368.87	349.46	205957.93
1497290400	349.02	365.69	349.46	356.24	96824.96
1497294000	333.1	356.56	356.24	347.5	104264.5
1497297600	344.99	373.8	347.5	369.15	68492.05
1497301200	368.76	385.2	369.15	378.03	60182.38
1497304800	365.61	379.42	378.03	377.91	42385.91
1497308400	376.05	394.66	377.91	394.66	44810.69
1497312000	389.22	395.61	394.66	394.73	40869.83
1497315600	390.03	399.5	394.73	393.48	59460.22
1497319200	383.27	397.01	393.48	384.42	36096.43
1497322800	376.69	388.41	384.42	387.54	49472.52
1497326400	385.36	391.55	387.54	387.18	26296.84
1497330000	378.86	389.61	387.18	386.72	31338.98
1497333600	381.98	388.28	386.72	386.76	15596.73
1497337200	385.05	389.46	386.76	385.39	14743.49
1497340800	368.9	388.36	385.39	377.89	46964.98
1497344400	359.7	378.46	377.89	366.87	38826.01
1497348000	363.13	378.59	366.87	378.22	25451.0
1497351600	368.7	378.65	378.22	371.9	15232.37
1497355200	371.05	380.3	371.9	377.93	19675.72
1497358800	375.25	380.32	377.93	378.65	17435.94
1497362400	376.42	379.61	378.65	378.91	14591.14
1497366000	378.91	388.23	378.91	386.12	26088.18
1497369600	383.16	387.21	386.12	387.2	21044.95
1497373200	384.88	387.24	387.2	386.1	18978.85
1497376800	383.62	386.11	386.1	385.97	20962.94
1497380400	385.57	393.01	385.97	392.79	36864.64
1497384000	391.24	394.71	392.79	392.18	31165.92
